Market,Commodity,Classification,Grade,Sex,Wholesale,Retail,Supply Volume,County,Date
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-16
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-12-16
Kerugoya,Dry Maize,White Maize,-,-,40.00/Kg,65.00/Kg,4500,Kirinyaga,2025-12-15
Ngurubani Market,Dry Maize,White Maize,-,-,46.67/Kg,50.00/Kg,5450,Kirinyaga,2025-12-15
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-15
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-15
Ngurubani Market,Dry Maize,White Maize,-,-,46.67/Kg,50.00/Kg,4500,Kirinyaga,2025-12-12
Kutus,Dry Maize,White Maize,-,-,42.00/Kg,55.00/Kg,,Kirinyaga,2025-12-11
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-11
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-11
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-10
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-10
Ngurubani Market,Dry Maize,White Maize,-,-,40.00/Kg,45.00/Kg,6250,Kirinyaga,2025-12-09
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-09
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-09
Kawangware,Dry Maize,White Maize,-,-,40.00/Kg,60.00/Kg,,Nairobi,2025-12-08
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-08
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-08
Ngurubani Market,Dry Maize,White Maize,-,-,40.00/Kg,45.00/Kg,6250,Kirinyaga,2025-12-06
Makutano Kirinyaga,Dry Maize,White Maize,-,-,40.00/Kg,44.44/Kg,3000,Kirinyaga,2025-12-06
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-05
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-05
Kagio,Dry Maize,White Maize,-,-,42.22/Kg,65.00/Kg,,Kirinyaga,2025-12-04
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-04
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-04
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-03
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-03
Ngurubani Market,Dry Maize,White Maize,-,-,44.44/Kg,50.00/Kg,5200,Kirinyaga,2025-12-02
Kerugoya,Dry Maize,White Maize,-,-,50.00/Kg,70.00/Kg,4500,Kirinyaga,2025-12-02
Kagio,Dry Maize,White Maize,-,-,46.67/Kg,70.00/Kg,,Kirinyaga,2025-12-02
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-02
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-02
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-01
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-01
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-28
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-28
Kutus,Dry Maize,White Maize,-,-,42.00/Kg,55.00/Kg,,Kirinyaga,2025-11-27
Kerugoya,Dry Maize,White Maize,-,-,50.00/Kg,70.00/Kg,4500,Kirinyaga,2025-11-27
Kawangware,Dry Maize,White Maize,-,-,40.00/Kg,60.00/Kg,,Nairobi,2025-11-27
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-27
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-27
Ngurubani Market,Dry Maize,White Maize,-,-,44.44/Kg,50.00/Kg,4580,Kirinyaga,2025-11-27
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-26
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-26
Ngurubani Market,Dry Maize,White Maize,-,-,44.44/Kg,50.00/Kg,6780,Kirinyaga,2025-11-25
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-25
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-25
Kerugoya,Dry Maize,White Maize,-,-,50.00/Kg,75.00/Kg,4500,Kirinyaga,2025-11-24
Kutus,Dry Maize,White Maize,-,-,42.00/Kg,50.00/Kg,,Kirinyaga,2025-11-24
Kawangware,Dry Maize,White Maize,-,-,40.00/Kg,60.00/Kg,,Nairobi,2025-11-24
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-24
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-24
Ngurubani Market,Dry Maize,Mixed-Traditional ,-,-,40.00/Kg,45.00/Kg,6250,Kirinyaga,2025-11-21
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-21
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-21
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-20
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-20
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-19
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-19
Ngurubani Market,Dry Maize,White Maize,-,-,41.11/Kg,50.00/Kg,8500,Kirinyaga,2025-11-18
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-18
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-18
Kerugoya,Dry Maize,White Maize,-,-,50.00/Kg,70.00/Kg,4500,Kirinyaga,2025-11-17
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-17
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-17
Ngurubani Market,Dry Maize,White Maize,-,-,40.56/Kg,50.00/Kg,5200,Kirinyaga,2025-11-14
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-14
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-14
Kutus,Dry Maize,White Maize,-,-,42.00/Kg,50.00/Kg,,Kirinyaga,2025-11-13
Kerugoya,Dry Maize,White Maize,-,-,45.00/Kg,70.00/Kg,4500,Kirinyaga,2025-11-13
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-13
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-13
Ngurubani Market,Dry Maize,White Maize,-,-,40.00/Kg,50.00/Kg,5400,Kirinyaga,2025-11-12
Kawangware,Dry Maize,White Maize,-,-,40.00/Kg,60.00/Kg,,Nairobi,2025-11-12
Makutano Kirinyaga,Dry Maize,White Maize,-,-,34.00/Kg,40.00/Kg,1800,Kirinyaga,2025-11-12
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-12
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-12
Kerugoya,Dry Maize,White Maize,-,-,50.00/Kg,70.00/Kg,4500,Kirinyaga,2025-11-11
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-11
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-11
Ngurubani Market,Dry Maize,White Maize,-,-,40.00/Kg,50.00/Kg,8200,Kirinyaga,2025-11-10
Kutus,Dry Maize,White Maize,-,-,42.00/Kg,50.00/Kg,,Kirinyaga,2025-11-10
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-10
Gikomba,Dry Maize,White Maize,-,-,42.22/Kg,55.00/Kg,,Nairobi,2025-11-10
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-07
Gikomba,Dry Maize,White Maize,-,-,43.33/Kg,55.00/Kg,,Nairobi,2025-11-07
Ngurubani Market,Dry Maize,White Maize,-,-,40.00/Kg,50.00/Kg,6850,Kirinyaga,2025-11-06
Kerugoya,Dry Maize,White Maize,-,-,50.00/Kg,70.00/Kg,4500,Kirinyaga,2025-11-06
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-06
Gikomba,Dry Maize,White Maize,-,-,42.22/Kg,50.00/Kg,,Nairobi,2025-11-06
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-05
Gikomba,Dry Maize,White Maize,-,-,42.22/Kg,50.00/Kg,,Nairobi,2025-11-05
Kerugoya,Dry Maize,White Maize,-,-,45.00/Kg,70.00/Kg,4500,Kirinyaga,2025-11-04
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-04
Gikomba,Dry Maize,White Maize,-,-,42.22/Kg,50.00/Kg,,Nairobi,2025-11-04
Ngurubani Market,Dry Maize,White Maize,-,-,41.11/Kg,50.00/Kg,6500,Kirinyaga,2025-11-03
Kutus,Dry Maize,White Maize,-,-,43.00/Kg,50.00/Kg,,Kirinyaga,2025-11-03
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,140.00/Kg,,Nairobi,2025-11-03
Gikomba,Dry Maize,White Maize,-,-,42.22/Kg,50.00/Kg,,Nairobi,2025-11-03
Kawangware,Dry Maize,White Maize,-,-,40.00/Kg,60.00/Kg,,Nairobi,2025-11-03
Ngurubani Market,Dry Maize,White Maize,-,-,40.00/Kg,50.00/Kg,6500,Kirinyaga,2025-10-31
Kerugoya,Dry Maize,White Maize,-,-,45.00/Kg,65.00/Kg,4500,Kirinyaga,2025-10-31
Kawangware,Dry Maize,White Maize,-,-,40.00/Kg,60.00/Kg,,Nairobi,2025-10-31
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-31
Gikomba,Dry Maize,White Maize,-,-,42.22/Kg,50.00/Kg,,Nairobi,2025-10-31
Kutus,Dry Maize,White Maize,-,-,45.00/Kg,55.00/Kg,,Kirinyaga,2025-10-30
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-30
Gikomba,Dry Maize,White Maize,-,-,42.22/Kg,50.00/Kg,,Nairobi,2025-10-30
Kawangware,Dry Maize,White Maize,-,-,40.00/Kg,60.00/Kg,,Nairobi,2025-10-29
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-29
Gikomba,Dry Maize,White Maize,-,-,42.22/Kg,50.00/Kg,,Nairobi,2025-10-29
Kawangware,Dry Maize,White Maize,-,-,40.00/Kg,60.00/Kg,,Nairobi,2025-10-28
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-28
Gikomba,Dry Maize,White Maize,-,-,42.22/Kg,50.00/Kg,,Nairobi,2025-10-28
Ngurubani Market,Dry Maize,White Maize,-,-,40.00/Kg,45.00/Kg,6800,Kirinyaga,2025-10-27
Kutus,Dry Maize,White Maize,-,-,41.00/Kg,50.00/Kg,,Kirinyaga,2025-10-27
Kerugoya,Dry Maize,White Maize,-,-,5.00/Kg,70.00/Kg,4600,Kirinyaga,2025-10-27
Kawangware,Dry Maize,White Maize,-,-,40.00/Kg,60.00/Kg,,Nairobi,2025-10-27
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-27
Gikomba,Dry Maize,White Maize,-,-,42.22/Kg,50.00/Kg,,Nairobi,2025-10-27
Kerugoya,Dry Maize,White Maize,-,-,50.00/Kg,70.00/Kg,4500,Kirinyaga,2025-10-24
Ngurubani Market,Dry Maize,White Maize,-,-,38.89/Kg,40.00/Kg,6850,Kirinyaga,2025-10-24
Kangemi Market,Dry Maize,White Maize,-,-,44.44/Kg,53.00/Kg,,Nairobi,2025-10-24
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-24
Gikomba,Dry Maize,White Maize,-,-,42.22/Kg,50.00/Kg,,Nairobi,2025-10-24
Kutus,Dry Maize,White Maize,-,-,45.00/Kg,55.00/Kg,,Kirinyaga,2025-10-23
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-23
Gikomba,Dry Maize,White Maize,-,-,42.22/Kg,50.00/Kg,,Nairobi,2025-10-23
Kerugoya,Dry Maize,White Maize,-,-,50.00/Kg,70.00/Kg,4500,Kirinyaga,2025-10-22
Kawangware,Dry Maize,White Maize,-,-,53.33/Kg,65.00/Kg,,Nairobi,2025-10-22
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-22
Gikomba,Dry Maize,White Maize,-,-,42.22/Kg,50.00/Kg,,Nairobi,2025-10-22
Kangemi Market,Dry Maize,White Maize,-,-,44.44/Kg, - ,,Nairobi,2025-10-21
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-21
Gikomba,Dry Maize,White Maize,-,-,42.22/Kg,50.00/Kg,,Nairobi,2025-10-21
Ngurubani Market,Dry Maize,White Maize,-,-,38.89/Kg,50.00/Kg,6850,Kirinyaga,2025-10-20
Ngurubani Market,Dry Maize,White Maize,-,-,35.00/Kg,40.00/Kg,6500,Kirinyaga,2025-10-17
Kutus,Dry Maize,White Maize,-,-,42.00/Kg,50.00/Kg,,Kirinyaga,2025-10-16
Kawangware,Dry Maize,White Maize,-,-,53.33/Kg,65.00/Kg,,Nairobi,2025-10-16
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-16
Gikomba,Dry Maize,White Maize,-,-,42.22/Kg,50.00/Kg,,Nairobi,2025-10-16
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-15
Gikomba,Dry Maize,White Maize,-,-,42.22/Kg,50.00/Kg,,Nairobi,2025-10-15
Kerugoya,Dry Maize,White Maize,-,-,45.00/Kg,70.00/Kg,4500,Kirinyaga,2025-10-14
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-14
Gikomba,Dry Maize,White Maize,-,-,42.22/Kg,60.00/Kg,,Nairobi,2025-10-14
Kangemi Market,Dry Maize,White Maize,-,-,50.00/Kg, - ,,Nairobi,2025-10-14
Ngurubani Market,Dry Maize,White Maize,-,-,35.00/Kg,40.00/Kg,6500,Kirinyaga,2025-10-13
Kutus,Dry Maize,White Maize,-,-,42.00/Kg,50.00/Kg,,Kirinyaga,2025-10-13
Kawangware,Dry Maize,White Maize,-,-,53.33/Kg,60.00/Kg,,Nairobi,2025-10-13
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-13
Gikomba,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,,Nairobi,2025-10-13
Makutano Kirinyaga,Dry Maize,White Maize,-,-,45.45/Kg,9.84/Kg,1600,Kirinyaga,2025-10-11
Ngurubani Market,Dry Maize,White Maize,-,-,35.00/Kg,40.00/Kg,6850,Kirinyaga,2025-10-10
Kerugoya,Dry Maize,White Maize,-,-,45.00/Kg,70.00/Kg,4500,Kirinyaga,2025-10-10
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-09
Gikomba,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,,Nairobi,2025-10-09
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-08
Gikomba,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,,Nairobi,2025-10-08
Kawangware,Dry Maize,White Maize,-,-,53.33/Kg,60.00/Kg,,Nairobi,2025-10-08
Ngurubani Market,Dry Maize,White Maize,-,-,33.33/Kg,40.00/Kg,5500,Kirinyaga,2025-10-07
Kerugoya,Dry Maize,White Maize,-,-,45.00/Kg,65.00/Kg,4500,Kirinyaga,2025-10-07
Kawangware,Dry Maize,White Maize,-,-,53.33/Kg,65.00/Kg,,Nairobi,2025-10-07
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-07
Gikomba,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,,Nairobi,2025-10-07
Kutus,Dry Maize,White Maize,-,-,40.00/Kg,50.00/Kg,,Kirinyaga,2025-10-06
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-06
Gikomba,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,,Nairobi,2025-10-06
Kawangware,Dry Maize,White Maize,-,-,53.33/Kg,60.00/Kg,,Nairobi,2025-10-06
Ngurubani Market,Dry Maize,White Maize,-,-,35.00/Kg,40.00/Kg,8500,Kirinyaga,2025-10-04
Makutano Kirinyaga,Dry Maize,White Maize,-,-,35.00/Kg,40.00/Kg,2100,Kirinyaga,2025-10-04
Kerugoya,Dry Maize,White Maize,-,-,45.00/Kg,65.00/Kg,4500,Kirinyaga,2025-10-03
Kangemi Market,Dry Maize,White Maize,-,-,46.67/Kg, - ,,Nairobi,2025-10-03
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-03
Gikomba,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,,Nairobi,2025-10-03
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-02
Gikomba,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,,Nairobi,2025-10-02
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-10-01
Gikomba,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,,Nairobi,2025-10-01
Ngurubani Market,Dry Maize,White Maize,-,-,35.56/Kg,40.00/Kg,9500,Kirinyaga,2025-09-30
Kerugoya,Dry Maize,White Maize,-,-,45.00/Kg,65.00/Kg,4500,Kirinyaga,2025-09-30
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-09-30
Gikomba,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,,Nairobi,2025-09-30
Kutus,Dry Maize,White Maize,-,-,40.00/Kg,47.00/Kg,,Kirinyaga,2025-09-29
Kawangware,Dry Maize,White Maize,-,-,53.33/Kg,60.00/Kg,,Nairobi,2025-09-29
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-09-29
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-09-29
Kerugoya,Dry Maize,White Maize,-,-,45.00/Kg,70.00/Kg,4500,Kirinyaga,2025-09-26
Gikomba,Dry Maize,Yellow Maize,-,-,83.33/Kg,100.00/Kg,,Nairobi,2025-09-26
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-09-26
Ngurubani Market,Dry Maize,White Maize,-,-,35.00/Kg,40.00/Kg,7250,Kirinyaga,2025-09-25
Kutus,Dry Maize,White Maize,-,-,38.00/Kg,45.00/Kg,,Kirinyaga,2025-09-25
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-09-25
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-09-25
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-09-24
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-09-24
Kawangware,Dry Maize,White Maize,-,-,53.33/Kg,65.00/Kg,,Nairobi,2025-09-23
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-09-23
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-09-23
Ngurubani Market,Dry Maize,White Maize,-,-,35.00/Kg,40.00/Kg,6500,Kirinyaga,2025-09-22
Kerugoya,Dry Maize,White Maize,-,-,45.00/Kg,70.00/Kg,4500,Kirinyaga,2025-09-22
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-09-22
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-09-22
Ngurubani Market,Dry Maize,White Maize,-,-,34.44/Kg,40.00/Kg,8500,Kirinyaga,2025-09-19
Makutano Kirinyaga,Dry Maize,Mixed-Traditional ,-,-,35.00/Kg,40.00/Kg,2400,Kirinyaga,2025-09-19
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-09-19
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-09-19
Kutus,Dry Maize,White Maize,-,-,40.00/Kg,48.00/Kg,,Kirinyaga,2025-09-18
Kerugoya,Dry Maize,White Maize,-,-,45.00/Kg,70.00/Kg,4500,Kirinyaga,2025-09-18
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-09-18
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-09-18
Kagio,Dry Maize,Mixed-Traditional ,-,-,40.00/Kg,50.00/Kg,1000,Kirinyaga,2025-09-17
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-09-17
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-09-17
Ngurubani Market,Dry Maize,White Maize,-,-,35.00/Kg,40.00/Kg,6800,Kirinyaga,2025-09-16
Kerugoya,Dry Maize,White Maize,-,-,45.00/Kg,70.00/Kg,4500,Kirinyaga,2025-09-16
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,140.00/Kg,,Nairobi,2025-09-16
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-09-16
Kawangware,Dry Maize,White Maize,-,-,54.44/Kg,60.00/Kg,,Nairobi,2025-09-16
Kutus,Dry Maize,White Maize,-,-,37.00/Kg,45.00/Kg,,Kirinyaga,2025-09-15
Kawangware,Dry Maize,White Maize,-,-,55.00/Kg,65.00/Kg,,Nairobi,2025-09-15
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-09-15
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-09-15
Makutano Kirinyaga,Dry Maize,Mixed-Traditional ,-,-,35.00/Kg,45.00/Kg,2200,Kirinyaga,2025-09-13
Ngurubani Market,Dry Maize,White Maize,-,-,35.56/Kg,40.00/Kg,6508,Kirinyaga,2025-09-12
Kerugoya,Dry Maize,White Maize,-,-,45.00/Kg,70.00/Kg,4800,Kirinyaga,2025-09-12
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-09-12
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-09-12
Kutus,Dry Maize,White Maize,-,-,35.00/Kg,45.00/Kg,,Kirinyaga,2025-09-11
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-09-11
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-09-11
Kawangware,Dry Maize,White Maize,-,-,55.00/Kg,65.00/Kg,,Nairobi,2025-09-11
Kawangware,Dry Maize,White Maize,-,-,55.00/Kg,65.00/Kg,,Nairobi,2025-09-10
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-09-10
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-09-10
Ngurubani Market,Dry Maize,White Maize,-,-,35.00/Kg,40.00/Kg,6800,Kirinyaga,2025-09-09
Kagio,Dry Maize,Mixed-Traditional ,-,-,40.00/Kg,50.00/Kg,1000,Kirinyaga,2025-09-09
Kawangware,Dry Maize,White Maize,-,-,55.00/Kg,65.00/Kg,,Nairobi,2025-09-09
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-09-09
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-09-09
Kutus,Dry Maize,White Maize,-,-,38.00/Kg,45.00/Kg,,Kirinyaga,2025-09-08
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-09-08
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-09-08
Kerugoya,Dry Maize,White Maize,-,-,40.00/Kg,70.00/Kg,4500,Kirinyaga,2025-09-05
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-09-05
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-09-05
Ngurubani Market,Dry Maize,White Maize,-,-,35.00/Kg,40.00/Kg,6580,Kirinyaga,2025-09-04
Kawangware,Dry Maize,White Maize,-,-,55.00/Kg,65.00/Kg,,Nairobi,2025-09-04
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-09-04
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-09-04
Kawangware,Dry Maize,White Maize,-,-,55.00/Kg,65.00/Kg,,Nairobi,2025-09-03
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-09-03
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-09-03
Makutano Kirinyaga,Dry Maize,Mixed-Traditional ,-,-,35.00/Kg,45.00/Kg,2900,Kirinyaga,2025-09-03
Kagio,Dry Maize,Mixed-Traditional ,-,-,42.22/Kg,65.00/Kg,,Kirinyaga,2025-09-02
